slug,title,date,original_url_candidate,canonical,og_title,og_description,og_image,twitter_image
20minutos-piramide,¿Es realmente por salud o por política? Dos expertos analizan la nueva pirámide nutricional de EE.UU.,,https://www.20minutos.es/salud/actualidad/salud-politica-dos-expertos-nutricion-analizan-nueva-piramide-invertida-eeuu-trump-nadie-utiliza-hora-comer_6920549_0.html,,,,,
actual-fruveg,Datos de sustituir proteína animal por vegetal,,https://actualfruveg.com/2024/12/15/proteina-sustituir-vegetal/,,,,,
agencia-sinc-nutricion,¿Por qué los estudios en nutrición son contradictorios?,,https://www.agenciasinc.es/Opinion/Por-que-los-estudios-en-nutricion-son-contradictorios,,,,,
carne-roja,¿Es saludable la carne roja? Depende de con qué alimento la compares,,https://nutreconciencia.com/prensa/carne-roja/,https://nutreconciencia.com/prensa/carne-roja/,¿Es saludable la carne roja? Depende de con qué alimento la compares | Miguel López Moreno,Una conversación sobre la evidencia alrededor de la carne roja y la importancia de interpretar los efectos según el alimento de comparación.,https://nutreconciencia.com/assets/miguel-lopez-moreno.jpg,https://nutreconciencia.com/assets/miguel-lopez-moreno.jpg
el-mundo,Carne roja y salud: qué podemos concluir realmente de la evidencia,,https://nutreconciencia.com/prensa/el-mundo/,https://nutreconciencia.com/prensa/el-mundo/,El Mundo | Miguel López Moreno,Aparición en El Mundo sobre la evidencia científica relacionada con carne roja y salud.,https://nutreconciencia.com/assets/miguel-lopez-moreno.jpg,https://nutreconciencia.com/assets/miguel-lopez-moreno.jpg
el-mundo-omniveg,Investigadores españoles constatan los beneficios para la salud de sustituir la proteína animal por la vegetal en la dieta mediterránea,,https://www.elmundo.es/vida-sana/bienestar/2024/09/04/66d59a8afdddffbc7d8b459a.html,,,,,
eldiario-greenwashing,Exigen a los supermercados responsabilidad climática y ética frente al 'greenwashing',,https://www.eldiario.es/caballodenietzsche/exigen-supermercados-responsabilidad-climatica-etica-frente-greenwashing_132_11924476.html,,,,,
instituto-nutrigenomica,"Avances en microbiota, salud planetaria y envejecimiento marcan la investigación en Nutrición",,https://institutonutrigenomica.com/noticias-nutrigenomica/avances-en-microbiota-salud-planetaria-y-envejecimiento-marcan-la-investigacion-en-nutricion/,,,,,
la-vanguardia-seeds,"Miguel López, dietista: «Es un bulo en nutrición que el aceite de semilla es casi un veneno y un problema de salud pública»",,https://www.lavanguardia.com/magazine/bienestar/20250929/11107437/miguel-lopez-dietista-bulo-nutricion-aceite-semilla-veneno-problema-salud-publica-pmv.html,,,,,
la-voz-galicia-meat,"Miguel López, nutricionista e investigador: «Tener un consumo bajo de carne reduce el riesgo de enfermedad cardiovascular»",,https://www.lavozdegalicia.es/noticia/lavozdelasalud/vida-saludable/2025/06/04/miguel-lopez-nutricionista-investigador-tener-consumo-bajo-carne-reduce-riesgo-enfermedad-cardiovascular/00031749050115773970312.htm,,,,,
la-voz-galicia-omniveg,La dieta mediterránea puede mejorar: «Cambiar la proteína animal por vegetal mejora los niveles de colesterol y de presión arterial»,,https://www.lavozdegalicia.es/noticia/lavozdelasalud/vida-saludable/2024/09/27/dieta-mediterranea-puede-mejorar-cambiar-proteina-animal-vegetal-mejora-niveles-colesterol-presion-arterial/00031727443459731993998.htm,,,,,
pcrm-omniveg,Vegan Mediterranean Diet Better Than Standard Mediterranean Diet for Metabolic Health,,https://www.pcrm.org/news/health-nutrition/vegan-mediterranean-diet-better-standard-mediterranean-diet-metabolic-health,,,,,
perfil-fit-generation,Miguel López Moreno: investigación y divulgación en nutrición,,https://nutreconciencia.com/prensa/perfil-fit-generation/,https://nutreconciencia.com/prensa/perfil-fit-generation/,Miguel López Moreno: investigación y divulgación en nutrición | Miguel López Moreno,"Perfil profesional sobre investigación, docencia y divulgación en nutrición.",https://nutreconciencia.com/assets/miguel-lopez-moreno.jpg,https://nutreconciencia.com/assets/miguel-lopez-moreno.jpg
plantrician-omniveg,Breaking down The OMNIVEG STUDY: Health outcomes of shifting from a traditional to a vegan Mediterranean diet in healthy men,,https://plantrician.org/library/articles/breaking-down-the-omniveg-study-health-outcomes-of-shifting-from-a-traditional-to-a-vegan-mediterranean-diet-in-healthy-men/,,,,,
